id	project	Faculty	Countries	Website	Start Date	End Date	desc	Topics	Sponsors	Collaborators	Dept & School
37	Prepared, Protected, emPowered (P3): A PrEP Adherence App for Young Men who have Sex with Men	LeGrand, Sara	United States		June 2017	Ongoing	P3 is a three arm, randomized-controlled trial (RCT) that will test the efficacy of P3, a novel, theory-based mobile app that utilizes game mechanics and social networking features to improve PrEP adherence, retention in PrEP clinical care and PrEP persistence among young men who have sex with men (YMSM) and trans women who have sex with men, ages 16-24. We will test the efficacy of P3 and P3 , which adds Next Step Counseling delivered by an adherence counselor through the app, against PrEP standard of care. Participants will be randomized to P3, P3 , or standard of care. A cost comparison between P3 and P3 will be conducted.	HIV/AIDS,Maternal, adolescent and child health,Gender and sexual health,Digital health	NIH-National Institute of Mental Health,NIH-National Institute on Drug Abuse,NIH-National Institute of Child Health and Human Development	UNC	
38	Surveillance for severe dengue in southern Sri Lanka	Tillekeratne, L Gayani	Sri Lanka		June 2017	Ongoing	The purpose of this project is to develop a clinical and laboratory-based surveillance system for severe dengue in the Southern Province of Sri Lanka.	Infectious diseases,Epidemiology			
39	Family psychoeducation for adults with psychotic disorders in Tanzania		Tanzania		May 2017	Ongoing	There is an urgent need for global guidance on effective, culturally appropriate, and sustainable psychosocial interventions for mental disorders in low- and middle-income countries (LMICs). While the burden of mental illness in LMICs is now well established, there remains a significant treatment gap for mental disorders, particularly for psychotic disorders in sub-Saharan Africa. Family psychoeducation (FPE) is an evidence-based practice developed in high-income countries to help individuals with psychotic disorders and their relatives to cope more effectively with the illness; however, FPE has never been tested in a low-resource country nor have the mechanisms of action for this psychosocial intervention been fully identified. This project (2017-2020) will pilot test a culturally tailored Family Psychoeducation model (FamPE) for adults with psychotic disorders and their relatives. The study design includes formative research to adapt FPE and a small randomized controlled trial (RCT) with 72 patient/relative dyads to meet these specific aims: 1) Assess how family psychoeducation can improve client outcomes, engage families and address gaps in mental health services in Tanzania; 2) Culturally tailor the FamPE intervention for use in Tanzania; and 3) Pilot test the FamPE intervention and explore its impact on patient relapse, quality of life and disability. **Partners:** Muhimbili University of Health & Allied Sciences (MUHAS) in Tanzania and Columbia University in New York NY. **Funder:** National Institute of Mental Health (NIMH)	Health policy and systems,Mental health,Monitoring and evaluation		The Trustees of Columbia University	
40	Myanmar Regional International Center of Excellence for Malaria Research		Myanmar		April 2017	Ongoing	New tools for mapping and predicting malaria risk are needed to help National Malaria Control Programs in Southeast Asia to eliminate drug resistant malaria. At sites in central Myanmar and on both sides of its borders with China and Bangladesh, the Myanmar Regional Center of Excellence for Malaria Research integrates findings from clinical and field research, including molecular surveillance, genomic epidemiology and geospatial mapping and modeling of malaria risk, to provide essential knowledge, tools, and evidence-based strategies to stratify malaria risk, with the ultimate aim of accelerating malaria elimination in the region.Artemisinin-resistant falciparum malaria appeared in Southeast Asia ten years ago, posing a serious threat to global malaria control and elimination. Based in part on our findings about the patterns of emergence and spread of artemisinin resistance in the region, in 2015 the WHO abandoned its strategy of trying to contain artemisinin resistance, and the World Health Assembly approved a new WHO recommendation to launch a campaign to completely eliminate falciparum malaria in Southeast Asia. Along with other countries at the 2015 East Asia Summit, Myanmar, the emerging democracy formerly known as Burma, endorsed a plan for malaria elimination in the region by 2030. To achieve this daunting goal, innovative tools are needed for malaria surveillance, treatment and prevention. Because the heaviest concentrations of malaria in Myanmar and neighboring countries are found in border and conflict areas that are often out of reach of national health systems, malaria elimination—and malaria research in support of elimination—requires a multi-sectoral, cross-border approach. Building on the foundation of a successful malaria research program that we created in Myanmar in 2012 with NIAID grant support, and working closely with local and regional partners, in 2017 we established a new NIH International Center of Excellence for Malaria Research (ICEMR) centered in Myanmar, with sites in central Myanmar and on both sides of its borders with China and Bangladesh. Integrating findings from clinical and field research, including molecular surveillance, genomic epidemiology and geospatial mapping and modeling of malaria risk, we are conducting innovative multidisciplinary research that will provide essential knowledge, tools, and evidence-based strategies for national malaria control programs and their partners to control, treat and ultimately eliminate malaria in Southeast Asia.The Myanmar Regional ICEMR consists of 3 Projects and 4 Cores. In addition to co-directing the ICEMR with DGHI faculty member Myaing Myaing Nyunt MD PhD MPH, Dr. Plowe directs Project 2, MALARIA PARASITE MIGRATION AND EMERGENCE AND SPREAD OF DRUG RESISTANCE.	Malaria	National Institute of Allergy and Infectious Diseases, NIH	Department of Medical Research, Myanmar Ministry of Health and Sports, Yangon, Myanmar,Defence Services Medical Research Center, Nay Pyi Taw, Myanmar,National Institute of Parasitic Diseases, Chinese CDC, Shanghai, China,icddr,b, Dhaka, Bangladesh,Department of Geographical Sciences, University of Maryland College Park,Center for Genomics and Computational Biology, Duke University	
41	Developing a Smartphone App to Improve Treatment Adherence among South African Adolescents Living with HIV	Mulawa, Marta	South Africa	https://batlab.web.unc.edu/masi	June 2019	Ongoing	Interventions that engage adolescents living with HIV to improve adherence to antiretroviral therapy (ART) are urgently needed. Adolescents repeatedly demonstrate suboptimal levels of ART adherence, which is associated with increased morbidity and mortality. Developing adherence-promoting interventions for adolescents requires an understanding of factors that shape adherence from multiple levels of influence. Developmental theories suggest that adolescents are particularly sensitive to their social networks. Mobile health (mHealth) interventions, those that use mobile technology (e.g., smartphones apps) to transmit health information, hold promise as an effective way to improve ART adherence. Notably, these smartphone apps can be used to engage social networks and provide social support. Access to mobile phone technology is rapidly increasing among youth in South Africa, making mHealth interventions feasible and potentially scalable in this setting.The purpose of this study is to customize and pilot MASI (MAsakhane Siphucule Impilo Yethu, Xhosa for “Let’s empower each other and improve our health”), an app-based intervention to promote adherence to HIV treatment among adolescents living with perinatally-acquired HIV in Cape Town, South Africa. MASI is built using the HealthMpowerment platform, a theory-based mHealth platform originally developed by One Cow Standing, a Durham-based software company, for Dr. Lisa Hightow-Weidman at the University of North Carolina at Chapel Hill. Read more about the features of MASI here.This research is conducted in collaboration with Drs. Lisa Hightow-Weidman and Kathryn Muessig at the University of North Carolina at Chapel Hill (UNC-CH) and with Dr. Jackie Hoare at the University of Cape Town (UCT). We are in the process of iteratively customizing MASI through in-depth interviews and app-testing with adolescents living with HIV in Cape Town. We recently conducted in-depth interviews with 15 adolescents to inform the development and customization of content to address their needs. Next, we will conduct app testing of MASI. Study activities for this phase of research will include a set of two in-depth interviews with 12-16 adolescents living with HIV. During the first interview, we will install MASI on each participant’s phone. Participants will be asked to spend at least 10 minutes a day on the app for 1-3 weeks, until the second interview is scheduled. A second interview will allow participants to provide feedback based on their experience with the app, desired improvements, proposed changes to the community guidelines, and information on facilitators and barriers to uptake and daily engagement as well as any technical difficulties encountered, privacy or confidentiality concerns.	Digital health,HIV/AIDS,Maternal, adolescent and child health	NIH-National Institute of Mental Health	University of Cape Town, UNC-CH	
42	Longitudinal, mixed-methods study of clergy well-being	Proeschold-Bell, Rae Jean	United States		December 2018	Ongoing	This study aims to determine longitudinal relationships between dimensions of physical health and physical illness, mental health and mental illness, and spiritual well-being and struggle, among clergy in the context in which they work.Two additional waves of the clergy health panel survey will be conducted and data will be combined with the first 11 years of data collection. In addition, rapid response studies will be conducted in response to new ideas. Findings will be disseminated to academic and clergy occupational audiences.	Obesity,Non-communicable diseases,Mental health,Occupational health,Religion	The Duke Endowment	Carl Weisner, David Eagle (faculty)	
43	Accessible Laparoscopy for Low- and Middle-Income Countries	Fitzgerald, Tamara,Saterbak, Ann,Vissoci, João Ricardo	Uganda		September 2018	Ongoing	Laparoscopic surgery is the standard of care in high-income countries for many operations in the chest and abdomen. Laparoscopic surgery avoids large incisions by using a tiny camera and fine instruments manipulated through keyhole incisions, but it is generally unavailable in low- and middle-income countries (LMICs) due to high cost of installment, lack of qualified maintenance personnel, unreliable electricity and shortage of consumable items.  Patients in LMICs would benefit from laparoscopic surgery, as advantages include: decreased pain, improved recovery time, fewer wound infections, and shorter hospital stays. Laparoscopic surgery would reduce recovery time, enabling patients to return to home and work more quickly, thereby mitigating impoverishing health expenditure.KeyScope and KeyLoop (collectively called KeySuite) are laparoscopic prototypes that we have designed for the resources, needs and challenges of LMICs. KeyScope is low-cost laparoscope that plugs into a laptop computer to display images during surgery, exists as a single unit without complicated assembly and is sterilizable by immersion in Cidex. It links to a tele-mentoring application so that experienced surgeons can mentor surgeons in capacity-building partnerships. KeyLoop is a laparoscopic retractor that lifts the abdominal wall during surgery, obviating the need for a constant power supply and medical-grade carbon dioxide. This would enable laparoscopic surgery to be performed in rural hospitals, where most patients live in LMICs, and increase access in tertiary centers where laparoscopic equipment is rare and expensive.This project is currently focused on performing a First-in-Human study in Uganda, gaining regulatory approval through the Uganda National Drug Authority and developing a business model to ensure sustainable manufacturing and scale-up within the region.	Engineering,Innovation,Health care access,Non-communicable diseases,Cancer,Surgery	Bass Connections at Duke University,Duke/Duke-NUS Pilot Project Grant,National Institutes of Health (NIH)	Makerere University,University of Maryland,Uganda Cancer Institute	School of Medicine,Pratt School of Engineering
44	IMPAACT 2016: Evaluating a Group-Based Intervention to Improve Mental Health and ART Adherence Among Youth Living with HIV in Low Resource Settings	Dow, Dorothy	Botswana,Malawi,South Africa,Zimbabwe	https://www.impaactnetwork.org/studies/impaact2016	August 2018	Ongoing	IMPAACT 2016 is a multi-site, two-arm, randomized, controlled study preceded by a feasibility and acceptability pilot to examine if an Indigenous Leader Outreach Model (ILOM) of trauma-informed cognitive behavioral therapy (TI-CBT) intervention demonstrates improved mental health outcomes and ART adherence for youth living with HIV. The study will proceed in two stages over approximately three and one-half years. In Stage 1, the feasibility and acceptability of the ILOM of TI-CBT program, consisting of 6 two-hour sessions, will be evaluated for 15-19 year-olds living with HIV and their caregivers using the ADAPT-ITT Model. In Stage 2, the efficacy of an ILOM of TI-CBT intervention using a 2-arm randomized controlled trial design will be evaluated for 15-19 year-olds living with HIV and their caregivers. This study will prioritize implementation in countries with high volumes of 15 - 19 year-olds living with HIV, and sites with minimal mental health care infrastructure in order to achieve the biggest impact and deliver the program in areas of greatest need.	HIV/AIDS,Maternal, adolescent and child health,Mental health			Dept of Pediatrics, School of Medicine
45	Maternal exposure to e-waste in Guiyu, China and birth outcomes	Feng, Liping	China		July 2018	Ongoing	In many LMICs, handling e-waste is frequently unregulated. There is increasing concern about health effects related to environmental contamination for people working and living at or near informal e-waste processing sites such as Guiyu, China, especially to the most vulnerable populations, pregnant women and children. Efforts have been underway to move toward a more sustainable process in Guiyu, China. By the end of 2015, all unregulated electronic-waste workshops were moved to a newly built industrial park in Guiyu. Thus, timely evaluation of the human health impact of these movements is needed. We hypothesize that the e-waste exposure level among the pregnant women in this region is going down and birth-outcomes are improved comparing to previous observations. To test our hypothesis, our overall scientific objective is to evaluate maternal e-waste exposure and birth-outcomes.Based on identified knowledge gaps and the significance of filling these gaps, we will:Aim 1: Initiate a Guiyu birth cohort to evaluate the e-waste exposure among pregnant women and birth-outcomes.Aim 2: Initiate a local education program to improve the awareness of the adverse health effects of e-waste exposure and prevention strategies among women. The research environment and resources at both Duke and China are available to support this study. Through this international cooperation, awareness can be elevated about the harm that e-waste processing poses to human health and the effects of interventions. This pilot funding will assist us to build up a long-term collaboration with China and pave a way for external funding on this topic.	Environmental health,Maternal, adolescent and child health		Jim Zhang	
46	mHealth-supported telecolposcopy for cervical cancer programs in low-resource settings	Vasudevan, Lavanya	Peru		July 2018	Ongoing	The overall goal of this study is to evaluate the feasibility and preliminary efficacy of an mHealth-supported telecolposcopy approach in community settings in Lima Peru, in order to reduce the screening-to-treatment gap among women with cervical cancer.	Health care access,Cancer,Engineering	Fogarty International Center (NIH)	Megan Hutchko, Rae Jean Proeschold-Bell	
47	mHealth-supported telecolposcopy for cervical cancer programs in low-resource settings	Proeschold-Bell, Rae Jean	Peru		July 2018	Ongoing	The overall goal of this study is to evaluate the feasibility and preliminary efficacy of an mHealth-supported telecolposcopy approach in community settings in Lima Peru, in order to reduce the screening-to-treatment gap among women with cervical cancer.	Health care access,Cancer,Engineering	Fogarty International Center (NIH)	Lavanya Vasudevan (PI), Megan Hutchko (faculty)	
48	Selah Stress Reduction Intervention Study	Proeschold-Bell, Rae Jean	United States		June 2018	Ongoing	This study will pilot four stress reduction interventions tailored to clergy. The two or three interventions found most acceptable by clergy will be brought forward to a clinical trial with a randomly assigned waitlist control. The primary outcomes are self-reported stress symptoms and heart rate variability; positive mental health will be explored as a moderator and outcome.	Mental health,Occupational health,Religion	The Duke Endowment	David Eagle (faculty), Carl Weisner	
49	The Seminary to Ministry Study	Eagle, David	United States		June 2018	Ongoing	The Seminary to Ministry Study is a longitudinal mixed methods study of one graduating and three entering classes of Duke Divinity students. This study will collect a variety of social, psychological and contextual data on seminarians during their training and into the first several years of their careers.  It aims to help both academic and professional audiences better understand the professional formation of divinity students.	Obesity,Non-communicable diseases,Mental health,Occupational health,Religion	The Duke Endowment	Rae Jean Proeschold-Bell, Carl Weisner	
50	Family psychoeducation for adults with psychotic disorders in Tanzania		Tanzania		May 2018	Ongoing	There is an urgent need for global guidance on effective, culturally appropriate, and sustainable psychosocial interventions for mental disorders in low- and middle-income countries (LMICs). While the burden of mental illness in LMICs is now well established, there remains a significant treatment gap for mental disorders, particularly for psychotic disorders in sub-Saharan Africa. Family psychoeducation (FPE) is an evidence-based practice developed in high-income countries to help individuals with psychotic disorders and their relatives to cope more effectively with the illness; however, FPE has never been tested in a low-resource country nor have the mechanisms of action for this psychosocial intervention been fully identified. This project (2017-2020) will pilot test a culturally tailored Family Psychoeducation model (FamPE) for adults with psychotic disorders and their relatives. The study design includes formative research to adapt FPE and a small randomized controlled trial (RCT) with 72 patient/relative dyads to meet these specific aims: 1) Assess how family psychoeducation can improve client outcomes, engage families and address gaps in mental health services in Tanzania; 2) Culturally tailor the FamPE intervention for use in Tanzania; and 3) Pilot test the FamPE intervention and explore its impact on patient relapse, quality of life and disability. **Partners:** Muhimbili University of Health & Allied Sciences (MUHAS) in Tanzania and Columbia University in New York NY. **Funder:** National Institute of Mental Health (NIMH)	Health policy and systems,Mental health			
51	The development of a platform mimicking the human placental barrier	Feng, Liping	United States		March 2017	Ongoing	Overview: The placenta is a highly specialized organ that plays an integral role in the development and maintenance of pregnancy. Its most important function is exchange of endogenous and exogenous substances, which enables adequate supply of oxygen and nutrients, excretion of fetal metabolic waste, and protection against potentially harmful agents, such as pathogens, including the recently identified vertical transmission of Zika virus (ZIKV) as a cause of microcephaly and other birth defects in neonates. Transfer of substances between the intervillous space and fetal capillaries takes place across a multilayered structure often called the “placenta barrier”, which is composed of trophoblasts, connective tissue, basal lamina and fetal endothelium. The other major functions of placenta include the production of hormones and a key immunological mediator during pregnancy. The major hormones it produces are progesterone, estrogen, and chorionic gonadotropin (hCG)21 which serve to maintain a healthy pregnancy, to uphold an optimal environment within the physiology of the mother, and to prepare the mother for birth.Studying the biology of the human placenta represents a major experimental challenge. Previous studies on placenta transport have used a wide range of experimental systems including in vivo animal models, ex vivo placental perfusion systems and in vitro cell cultures. A limitation of animals to model human pregnancy is that placental structure and function vary considerably among species, and current in vitro models have limited ability to dissect the process of placental transfer and to reveal mechanistic insights into its biological underpinnings. It is urgent to develop new models for real-time assessment of placental development and function during normal and abnormal pregnancies. Recently, a novel platform “placenta-on-a-chip” was developed using human cells which recapitulate the critical fetal maternal interface in the villous tree of the human placenta. This model mimics structural characteristics of the human placental barrier and some aspects of physiology. This model has potential to serve as a low-cost experimental platform with a broad range of applications. However, major limitations of this model are (1) use of JEG-3 or BeWo cell line to represent placental trophoblast cells, (2) limited characterization of its endocrine and immunologic function, (3) limited characterization of transport functions and effects of shear stress. JEG-3 and BeWo are human choriocarcinoma cell lines which still keep tumor properties, and, unlike primary cultures, do not spontaneously form syncytia without addition of forskolin27. These cell lines have limited capacity to model changes in placental barrier function during pregnancy. Using these cells raises questions about their ability to represent normal human cytotrophoblasts.Objectives/Aims: Our study objectives are to develop a platform mimicking the human placental barrier based on the existing “placenta-on-a-chip” model using representative human trophoblasts and fetal capillary endothelial cells. Taking a step further, we will test this model for ZIKV transmission after complete characterization and validation of the developed model.	Pediatrics,Infectious diseases,Maternal, adolescent and child health		George Truskey, Sallie Permar	
52	Evaluating the feasibility of implementing a screen and treat program for cervical cancer prevention in Haiti using vaginal HPV self-sampling followed by with cervical thermoablation.		Haiti		March 2017	Ongoing	The aim of this study is to evaluate a screen and treat strategy for preventing cervical cancer that has been proposed as a model for a national cervical cancer prevention program in Haiti.  The proposed screen and treat strategy involves testing vaginal self-collected samples for the presence of oncogenic genotypes of HPV and then treating all HPV positive women with cervical ablation.The motivation for doing the study is to identify potential problems while implementing the program in a research environment before expanding the program to other areas of the country.  The study was approved by the Duke IRB in 2017 to recruit 5,000 research subjects, from Port-au-Prince (urban) and from a rural community surrounding Tom Gato in the mountains between Leogane and Jacmel.  The plan was to do an interim analysis of the study after the first 2,000 subjects so that the screen and treat strategy could be evaluated and improved before recruiting the final 3,000 subjects.  We completed the evaluation of phase 1 of the study, implemented the changes to improve the protocol and anticipate completing study recruitment in 2021.In phase 1 (2,000 subjects), the cervical ablation technique used was cryotherapy.  This was because it was the only cervical ablation method widely available in Haiti at the time.  The plan was to compare traditional cryotherapy using nitrous oxide gas to a gasless CryoPen® device that was under development.  Before phase 1 of the study began, the manufacturer of the gasless CryoPen® decided not to continue supporting this device.  From phase 1 we are now aware that a treatment based on the availability of nitrous oxide gas is not sustainable on a national scale in Haiti.  Therefore in phase 2 (3,000 women), we proposed evaluating a different gasless cervical ablation technique that involves heating the cervical transformation zone rather than freezing it.  This technique was widely used in the United Kingdom, particularly in Scotland, in the 1970s and found to be both safe and effective.  The device was originally manufactured in Germany and the device that we using is a modification of that device.  A meta-analysis reports that heating the cervix may be more effective at treating high grade lesions than cryotherapy35.  The technique was originally called cold coagulation, which creates confusion because it is neither cold, or coagulation, but rather involves heating the transformation zone to 100-120 degrees Centigrade for short intervals.  To avoid this confusion, we are referring to this treatment as thermoablation or thermal ablation.In phase 1, one of our goals was to perform cervical ablation on at least 80% of all HPV-positive women and to learn through surveys that the majority patients and providers gave a favorable evaluation of the screening and treatment strategies.  Both of these goals were achieved. However, the cervical ablation target was not met in the rural community until more study personnel were added to the team.  We discovered in the rural community that women were more likely to return if they were contacted through community networking rather than through mobile phone calls.  In phase 2, we now have a dedicated health promoter who is networking in the rural community to encourage women to return for test results and treatment if they are HPV positive.In phase 1, we also learned that vaginal bleeding does not decrease the detection of HPV in vaginal samples so this contraindication has been removed from phase 2.In phase 2, we switched from entering the study data into an Excel spreadsheet to entering the data into a RedCAP registry database, which was created by a member of the study team.  This simulates the data entry process that we anticipate using for the Haitian National Cervix Registry.	Health policy and systems,Reproductive health,Women's health,Implementation science			DGHI
53	Spatial Scales of Plasmodium Falciparum Generations: Implications for Elimination	Prudhomme O'Meara, Wendy	Kenya		February 2017	Ongoing	Malaria is a major public health problem, with an estimated 198 million cases occurring world-wide in 2013. Effective strategies to reduce malaria transmission and disease have been highly successful leading to a 40% reduction in malaria cases in sub-Saharan Africa since 2000. It has been observed that infections cluster geographically and such clustering becomes more pronounced as transmission declines. The science of identifying 'hotspots' of infection or foci of transmission is a growing area that promises to help target interventions more effectively. However, it has not been shown whether infected individuals in close physical proximity (i.e. in the same household) are jointly infected due to simply living in a risky place, or because an infected household member is a risk factor for nearby susceptible individuals. If the former, then targeting hotspots should focus on reducing environmental risk factors in the area around a hotpsot. If the latter, then interventions to identify and treat 'transmitters' will reduce transmission and reduce the incidence of new cases. Therefore, we need to understand the spatial scale of malaria transmission to predict the impact of community case detection and hotspot targeting.To shed light on this important issue, we propose two scientific objectives. First, we will measure the genetic relatedness of infections within the same household compared to the relatedness of infections at further distances. We will determine whether this relationship differs in fever 'hotspots' (geographic clusters of high fever incidence) and fever 'coldspots'. Parasite DNA from dried blood spots collected from a moderate endemic study area in western Kenya (approximately 15 km by 28 km encompassing more than 80 villages) will be sequenced at a moderately polymorphic gene using deep sequencing techniques. This will provide evidence for local, focal transmission if nearby infections are more closely related or will point to mixed transmission whereby infections only begin to differ as you reach the distance of mosquito flying ranges.Our second objective is to trap malaria mosquito vectors and identify infected mosquitoes. We will determine the source of the mosquito's infection by sequencing parasites in the mosquito salivary glands and comparing to parasite genotypes in humans. By doing so, we can find out whether infections are being transmitted at a household scale or transmission is 'well mixed' geographically and only limited by the range of the mosquito. If successful, this will be the first report of linking individual infections in mosquitoes to their human source. The ability to track infections from human to mosquito and back again would allow us to understand the dynamics and scale of transmission in a way that has not previously been possible. We expect to scale up this approach to larger populations in subsequent studies. These results will provide insight into the expected impact of interventions designed to target hotspots.	Malaria,Epidemiology	NIH-National Institute of Allergy and Infectious Diseases	Moi University	
54	Novel Diagnostics to Improve Antimicrobial Stewardship for Acute Respiratory Tract Infections in Resource-Limited Settings	Tillekeratne, L Gayani	Sri Lanka		February 2017	Ongoing	Acute respiratory tract infections (ARTIs) are a leading cause of antibiotic overuse worldwide. Rapid, accurate identification of a pathogen can reduce antibiotic overuse for ARTIs, but is not always possible with available diagnostics. In low- or middle-income countries (LMICs), ARTI diagnosis is further complicated by limited laboratory infrastructure.This project in Sri Lanka will1) define the epidemiology of ARTIs using comprehensive laboratory testing,2) refine a novel host-based gene expression assay that differentiates between viral and bacterial ARTIs. This transcriptomics-based signature was originally developed in a population in the US. Performance will be determined in the Sri Lankan cohort and the signature will be refined.3) determine the performance characteristics of procalcitonin and gene signatures at differentiating between viral and bacterial ARTIs.	Infectious diseases	NIH-National Institute of Allergy and Infectious Diseases		
55	Health, Hygiene, and Education Interventions Among Maya Families in the Guatemalan Highlands	Boyd, David	Guatemala		January 2017	Completed	To Improve Health and Educational Outcomes for Rural Maya Children in Low-Resource SettingsFindings have resulted in local health clinics changing treatment protocols and local families changing WASH, nutrition, and indoor cooking practices.	Environmental health,Air pollution,Water,Health policy and systems,Infectious diseases,Maternal, adolescent and child health,Pediatrics,Mental health,Nutrition,Impacts of race and culture	Duke Global Health Institute		
56	Global Febrile Illness Diagnostics	Woods, Chris	Sri Lanka,Tanzania,United States		January 2017	Ongoing	**Task 1.** Develop and deliver a validated, highly accurate (>85%) host-based RNA assay for the diagnosis of viral and bacterial infections inclusive of pathogens of emerging importance for the global warfighter. **Task 1.1.** Leverage existing clinical samples for gene expression assay development. We will generate host gene expression RNA sequencing data from existing, exquisitely phenotyped, clinically relevant samples. Deliverable: Whole blood gene expression data from patients with infection due to bacterial infections (n=120) including typical gram-positive, gram-negative, and those pathogens with special relevance to the global warfighter (e.g., Brucella spp., Coxiella burnettii, Leptospira, Salmonella spp.), viral infections (n=120) including influenza/RSV/HRV, dengue, and chikungunya and patients with non-infectious illness (n=60). [8 month mark] **Task 1.2.** Evaluation of existing classifiers for respiratory bacterial and viral infection in the existing cohort of well-phenotyped patients with confirmed infections of relevance to the modern global warfighter (Assay v1.0). Deliverable: Assessment of performance of existing classifiers including AUC, sensitivity, specificity, negative and positive predictive values. [12 month mark] **Task 1.3.** Generate and validate novel classifiers of viral, bacterial, and non-infectious illness inclusive of diseases relevant to the modern global warfighter (Assay v2.0). We will use the data generated in Task 1.1 to develop gene expression classifiers using both well-known and novel statistical methods. Deliverable: Validated mRNA biomarker panel to differentiate bacterial vs. viral vs. non-infectious illness. [18 month mark] **Task 1.4.** Migrate and optimize classifiers to an RT-PCR platform (Assay v.2.0) and validate in additional samples from our well-phenotyped global biorepository. Deliverable: Validated RT-PCR assay (2.0) for differentiating viral, bacterial, and non-infectious illness for diseases relevant to the modern global warfighter. [24 month mark] **Task 1.5.** Translate to a primate ortholog assay (RT-PCR) for ultimate use in samples from previous and ongoing NHP challenge studies with high consequence global pathogens (e.g., viral hemorrhagic fever, B. pseudomallei, monkeypox). Deliverable: RT-PCR assay (v3.0) for differentiating viral, bacterial, and non-infectious illness optimized for use in NHP used in USAMRIID protocols. [36 month mark] **Task 2.** Develop and deliver a validated, host-based protein assay for the diagnosis of viral and bacterial infections inclusive of pathogens of emerging importance for the global warfighter. **Task 2.1.** Complete unbiased proteomic investigation from plasma samples from patients with adjudicated viral or bacterial infection, and non-infectious SIRS controls. We will generate unbiased proteomic data from existing samples. Deliverable: Unbiased proteomic data from the patients in Task 1.1. [12 month mark] **Task 2.2.** Statistical modeling of an optimized and minimized protein/pathway set capable of discriminating pathogen class with > 85% accuracy. We will use the data generated in Task 2.1 to develop proteomic classifiers using sparse classification methods and discriminative factor models and assess performance metrics for the assay from Task 2.2 including sensitivity, specificity, and AUC, and optimize the composition of the classifier. Deliverable 1: Proteomic biomarker panel to differentiate bacterial vs. viral vs. non-infectious illness. [18 month mark] Deliverable 2: Performance metrics of the classifier and optimized composition. [24 month mark] **Task 2.3.** Development of quantitative MRM assays for diagnosis of viral vs bacterial infection. We will migrate the classifier from Task 2.2 to a MRM assay platform and test the MRM assay on existing samples and define performance metrics of the assay. Deliverable 1: An optimized bacterial/viral/non-infectious classifier on a nonAt present, our ability to identify the etiology of febrile illness is limited by nonspecific clinical presentations, low sensitivity and prolonged time to positivity of current pathogen specific methods, and in some cases difficulty in determining whether presence of pathogen alone indicates invasive disease. Consequently, there is a compelling need for novel diagnostic approaches to accurately discriminate between viral and bacterial etiology versus non-infectious causes of febrile illness. The host response to pathogens uses pattern recognition receptors tied to specific transcriptional responses that can be measured at the mRNA and protein levels [16, 17]. We hypothesize that we can harness this response to generate robust classifiers and high fidelity assays to distinguish bacterial and viral illnesses that are inclusive of high consequence pathogens of relevance to the modern warfighter. In previous work, we have demonstrated that the host response to common pathogens, in the form of pathogen-class specific, host gene expression classifiers, can address this diagnostic dilemma. The concept of host-based biomarkers of infection is not new. However, only recently has progress in technology for generation of genomic and proteomic data coupled with advances in mathematical and statistical analysis of complex data sets allowed the prospect of rapid and accurate prediction of infection based upon host biomarker profiling. Our team has been at the forefront in the development of host biomarker classifiers of infectious diseases[1-4, 18-20]. We have previously demonstrated that the host response transcriptome, proteome, and metabolome discern pathogen class exposure with high fidelity and specificity. Furthermore, the host response classifiers we have developed can predict those who will go on to symptomatic disease among an exposed population who have not yet developed symptoms. In the proposed work, we will use our existing biorepository of exquisitely phenot	Infectious diseases		USAMRIID	
57	Uganda Epilepsy Center of Excellence	Haglund, Michael	United States,Uganda		January 2017	Ongoing	For the last decade, the Duke University Division of Global Neurosurgery and Neuroscience led by Professor Haglund has collaborated with Makerere and Mbarara Universities to build state of the art Neurosurgery Units at their respective hospitals, Due to the huge burden of traumatic brain injuries and birth defects, thousands in Uganda suffer from treatable epilepsy. We will build an Epilepsy Center of Excellence in Uganda that to cover epilepsy diagnosis, treatment, and surgical care.	Health policy and systems,Injuries			
58	Evaluation of LifeNet International’s training program on maternal and neonatal quality of care in partner clinics in Masaka District, Uganda		Uganda		December 2016	Ongoing	LifeNet has engaged the Duke Global Health Institute (DGHI) Evidence Lab at Duke University to carry out a quasi-experimental longitudinal study of the effects of the LN training intervention on improvements in quality of care and maternal and child morbidity and mortality in selected LN partner clinics in Masaka District, Uganda. The overall goal of this study is to estimate the effect of LifeNet International’s clinical and management training program on maternal and child health in Masaka District, Uganda. This is a 2-year project that includes 14 months of health facility-based data collection.	Health policy and systems,Maternal, adolescent and child health,Monitoring and evaluation		LifeNet International	
59	Developing Primary Care in China	Halbrooks, Ronald	China		December 2016	Ongoing	Assist Qingdao Munciple Hospital in developing a new Primary Care clinic1. Develop functional primary care clinic 2. Develop POC resources 3. Develop EMR, which would facilitate this	Health policy and systems	Center for AIDS Research	Qingdao Municiple Hospital	
60	Doris Duke International Clinical Research Fellowship	Bloomfield, Gerald	Kenya	http://www.ddcf.org/what-we-fund/medical-research/goals-and-strategies/encourage-and-develop-clinical-research-careers/international-clinical-research-fellowship/	December 2016	Completed	The International Clinical Research Fellowship (ICRF) program provides fellowships for U.S.-based medical students to take a year out from school to conduct mentored clinical research in developing countries.	HIV/AIDS,Pediatrics,Non-communicable diseases,Cardiovascular disease,Epidemiology,Impacts of race and culture			
